Account ID,Client id,Branch Name,Product Id,Loan Amount,Funded Amount,Funded Amount Inv,Disbursement Date,Loan Status,Repayment Type,Center Id,BranchID
ACC000001,518,Mathura,JLG35K,17689,18209,14736,2015-09-05 00:00:00,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000002,269,FATEHGARH SAHIB,JLG50K,28028,44825,25666,2016-03-18 00:00:00,Paid Off,Quarterly EMI,120676,FATEHGARH SAHIB-120676
ACC000003,988,DHURI,JLG35K,44532,9013,24820,2020-12-20 00:00:00,Default,Quarterly EMI,1030063,DHURI-1030063
ACC000004,735,DHURI,JLG30K,8828,6648,5311,2018-02-28 00:00:00,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000005,580,Mathura,JLG30K,23336,5898,32762,2019-01-28 00:00:00,Paid Off,Monthly EMI,910182,Mathura-910182
ACC000006,1001,SIVASAGAR,JLG35K,9547,6742,15227,2019-05-06 00:00:00,Paid Off,Monthly EMI,880038,SIVASAGAR-880038
ACC000007,95,BEHROR,JLG30K,42300,30522,15197,2015-01-14 00:00:00,Default,Monthly EMI,30179,BEHROR-30179
ACC000008,357,BEHROR,JLG30K,31513,5247,13250,2017-04-21 00:00:00,Active,Monthly EMI,30179,BEHROR-30179
ACC000009,438,MUKTSAR,JLG30K,49517,32580,28839,2021-04-06 00:00:00,Active,Monthly EMI,1110166,MUKTSAR-1110166
ACC000010,303,DURGAPUR,JLG35K,33787,16117,31783,2020-07-18 00:00:00,Paid Off,Quarterly EMI,700013,DURGAPUR-700013
ACC000011,485,HAPUR,JLG35K,4176,24826,36659,2022-11-25 00:00:00,Fully Paid,Quarterly EMI,210563,HAPUR-210563
ACC000012,110,JALANDHAR,JLG30K,44582,2453,15668,2022-04-24 00:00:00,Fully Paid,Monthly EMI,160051,JALANDHAR-160051
ACC000013,936,Mathura,JLG39K,15828,22903,35257,2021-08-13 00:00:00,Active,Monthly EMI,910182,Mathura-910182
ACC000014,871,DHURI,JLG30K,40060,34206,25805,2016-08-25 00:00:00,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000015,615,MAWANA,JLG30K,14743,36936,33848,2019-10-07 00:00:00,Paid Off,Monthly EMI,800018,MAWANA-800018
ACC000016,551,MAWANA,JLG30K,38892,43934,15990,2016-11-17 00:00:00,Active,Quarterly EMI,800018,MAWANA-800018
ACC000017,40,KAROND,JLG30K,11814,29847,15492,2018-12-02 00:00:00,Fully Paid,Monthly EMI,1320004,KAROND-1320004
ACC000018,487,BEHROR,JLG30K,22969,45972,28583,2021-03-06 00:00:00,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000019,20,HAPUR,JLG40K,30337,44578,33723,2015-11-24 00:00:00,Paid Off,Quarterly EMI,210563,HAPUR-210563
ACC000020,376,CHHATA,JLG50K,14558,38183,32441,2015-02-08 00:00:00,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000021,252,HAPUR,JLG50K,30750,43606,40106,2021-08-27 00:00:00,Fully Paid,Quarterly EMI,210563,HAPUR-210563
ACC000022,312,SANGRUR,JLG35K,12261,14267,32289,2023-04-24 00:00:00,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000023,450,AGRA,JLG35K,19519,29464,30182,2017-07-03 00:00:00,Fully Paid,Monthly EMI,140056,AGRA-140056
ACC000024,160,SIVASAGAR,JLG35K,22376,41243,39650,2016-09-26 00:00:00,Fully Paid,Quarterly EMI,880038,SIVASAGAR-880038
ACC000025,16,CUTTACK,JLG35K,43369,23392,25488,2020-06-19 00:00:00,Paid Off,Quarterly EMI,630081,CUTTACK-630081
ACC000026,427,DHURI,JLG30K,9328,14266,15204,2019-09-22 00:00:00,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000027,942,DHURI,JLG46K,2417,34200,20537,2018-03-31 00:00:00,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000028,721,Mathura,JLG30K,42636,49290,27420,2021-07-12 00:00:00,Default,Monthly EMI,910182,Mathura-910182
ACC000029,291,DURGAPUR,JLG50K,2751,5699,12374,2018-04-02 00:00:00,Active,Quarterly EMI,700013,DURGAPUR-700013
ACC000030,994,BULANDSHAHR,JLG46K,36868,41803,21947,2020-11-15 00:00:00,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
ACC000031,211,MUKTSAR,JLG41K,43297,27561,31134,2016-08-01 00:00:00,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000032,416,Mathura,JLG30K,26537,31456,44460,2017-01-18 00:00:00,Active,Monthly EMI,910182,Mathura-910182
ACC000033,611,DHURI,JLG30K,6975,24865,25569,2017-02-13 00:00:00,Active,Quarterly EMI,1030063,DHURI-1030063
ACC000034,34,BULANDSHAHR,JLG35K,27292,27781,5688,2019-06-11 00:00:00,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
ACC000035,920,BEHROR,JLG30K,17883,23951,16740,2020-01-21 00:00:00,Fully Paid,Monthly EMI,30179,BEHROR-30179
ACC000036,941,Mangaldoi,JLG35K,5739,7389,8156,2021-01-26 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000037,595,MUKTSAR,JLG35K,28688,34093,39444,2021-03-29 00:00:00,Fully Paid,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000038,774,BULANDSHAHR,JLG30K,8277,39398,24143,2020-09-15 00:00:00,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
ACC000039,895,SANGRUR,JLG35K,21369,4763,1732,2020-09-02 00:00:00,Paid Off,Monthly EMI,110159,SANGRUR-110159
ACC000040,598,FATEHGARH SAHIB,JLG30K,28902,16191,10665,2017-09-05 00:00:00,Paid Off,Monthly EMI,120676,FATEHGARH SAHIB-120676
ACC000041,206,TEZPUR,JLG30K,6228,27339,16284,2021-04-14 00:00:00,Fully Paid,Quarterly EMI,680026,TEZPUR-680026
ACC000042,349,Mathura,JLG30K,13095,15927,19119,2022-12-22 00:00:00,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000043,110,MAWANA,JLG30K,27443,15926,5774,2019-11-16 00:00:00,Default,Quarterly EMI,800018,MAWANA-800018
ACC000044,10,Mangaldoi,JLG35K,5614,31158,20855,2021-02-04 00:00:00,Active,Monthly EMI,570241,Mangaldoi-570241
ACC000045,41,MAWANA,JLG30K,48162,29994,14416,2020-08-10 00:00:00,Fully Paid,Monthly EMI,800018,MAWANA-800018
ACC000046,610,ASANSOL,JLG30K,16050,25227,10159,2016-06-06 00:00:00,Active,Quarterly EMI,690076,ASANSOL-690076
ACC000047,245,Mathura,JLG46K,48450,25184,26822,2021-10-06 00:00:00,Default,Quarterly EMI,910182,Mathura-910182
ACC000048,372,Mangaldoi,JLG30K,40775,49778,26979,2018-12-09 00:00:00,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000049,242,JAMMU,JLG35K,22891,13457,21237,2017-08-02 00:00:00,Active,Quarterly EMI,720081,JAMMU-720081
ACC000050,763,MUKTSAR,JLG46K,31115,13467,39122,2015-08-16 00:00:00,Fully Paid,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000051,467,PAOTA,JLG30K,25377,36909,5288,2021-11-09 00:00:00,Fully Paid,Quarterly EMI,90149,PAOTA-90149
ACC000052,942,DHURI,JLG44K,49339,13273,43488,2019-12-24 00:00:00,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000053,260,MODINAGAR,JLG45K,35642,5329,29742,2018-01-06 00:00:00,Paid Off,Quarterly EMI,410521,MODINAGAR-410521
ACC000054,743,SANGRUR,JLG30K,27146,38341,6414,2018-03-18 00:00:00,Paid Off,Quarterly EMI,110159,SANGRUR-110159
ACC000055,102,RAIPUR,JLG30K,34937,28632,30117,2020-12-10 00:00:00,Paid Off,Quarterly EMI,230415,RAIPUR-230415
ACC000056,822,MAWANA,JLG35K,30017,5948,4398,2015-08-18 00:00:00,Fully Paid,Quarterly EMI,800018,MAWANA-800018
