Account ID,Total Pymnt,Total Pymnt inv,Total Rec Prncp,Total Fees,Total Rrec int,Is Delinquent Loan,Is Default Loan,Delinq 2 Yrs,Repayment Behavior
ACC000001,19673,19066,17492,16.16,3467.06,N,Y,0,On-Time
ACC000002,28883,46726,27578,30.14,2750.34,N,N,1,Late
ACC000003,45119,8983,44514,36.83,907.62,N,N,2,Very Late
ACC000004,8636,7126,8764,18.66,895.23,N,N,2,On-Time
ACC000005,23153,5512,23039,9.17,421.52,N,N,1,On-Time
ACC000006,10682,8589,9281,38.01,3226.56,N,N,1,Very Late
ACC000007,44239,31244,41890,4.77,1585.53,N,N,0,On-Time
ACC000008,33496,6046,31080,40.7,4590.19,N,N,0,On-Time
ACC000009,50161,33890,49281,43.37,2723.48,N,N,0,On-Time
ACC000010,34042,16059,33775,1.64,516.94,N,N,0,On-Time
ACC000011,5198,24586,4124,7.59,4537.66,N,N,0,Late
ACC000012,45938,2111,44526,1.29,4109.65,N,N,0,Late
ACC000013,15912,24372,15404,38.83,1264.52,N,N,1,On-Time
ACC000014,41546,36140,39978,44.67,987.1,N,N,2,Very Late
ACC000015,15725,38407,14516,4.52,2376.18,N,N,0,On-Time
ACC000016,39776,44062,38823,2.33,886.53,N,N,0,On-Time
ACC000017,11594,30161,11427,37.6,4601.09,N,N,2,On-Time
ACC000018,23784,47111,22484,9.57,4929.78,Y,N,2,On-Time
ACC000019,31367,46274,30153,46.4,2251.14,N,N,2,Late
ACC000020,14578,39199,14510,33.59,4545.8,N,N,1,On-Time
ACC000021,32292,45534,30381,36.55,2833.7,N,N,2,On-Time
ACC000022,12505,15882,12248,18.38,699.77,N,N,2,Late
ACC000023,19635,29326,19098,9.05,1972.44,N,N,1,On-Time
ACC000024,23001,42388,22095,0.57,4522.2,N,N,0,Late
ACC000025,43511,24638,43208,12.83,4915.55,N,N,2,On-Time
ACC000026,11219,14589,9147,27.67,109.74,N,N,1,On-Time
ACC000027,3018,35539,2240,24.69,2330.95,N,N,0,On-Time
